antecedent,consequent,support,confidence,lift,count
gcp,aws,0.0417,1.0,14.4,3
aws,gcp,0.0417,0.6,14.4,3
python,docker,0.0417,0.6,14.4,3
docker,python,0.0417,1.0,14.4,3
ios,android,0.0417,1.0,14.4,3
android,ios,0.0417,0.6,14.4,3
gcp,python,0.0417,1.0,14.4,3
python,gcp,0.0417,0.6,14.4,3
aws,docker,0.0417,0.6,14.4,3
docker,aws,0.0417,1.0,14.4,3
python,aws,0.0556,0.8,11.52,4
aws,python,0.0556,0.8,11.52,4
docker,azure,0.0417,1.0,10.2857,3
azure,docker,0.0417,0.4286,10.2857,3
gcp,azure,0.0417,1.0,10.2857,3
azure,gcp,0.0417,0.4286,10.2857,3
azure,aws,0.0694,0.7143,10.2857,5
aws,azure,0.0694,1.0,10.2857,5
sql,php,0.0556,0.5,9.0,4
php,sql,0.0556,1.0,9.0,4
python,azure,0.0556,0.8,8.2286,4
azure,python,0.0556,0.5714,8.2286,4
java,python,0.0556,0.5,7.2,4
python,java,0.0556,0.8,7.2,4
java,php,0.0417,0.375,6.75,3
php,java,0.0417,0.75,6.75,3
sql,c#,0.0417,0.375,5.4,3
c#,sql,0.0417,0.6,5.4,3
aws,java,0.0417,0.6,5.4,3
java,aws,0.0417,0.375,5.4,3
sql,java,0.0556,0.5,4.5,4
java,sql,0.0556,0.5,4.5,4
java,azure,0.0417,0.375,3.8571,3
azure,java,0.0417,0.4286,3.8571,3
marketing,seo,0.0417,0.1364,3.2727,3
seo,marketing,0.0417,1.0,3.2727,3
seo,git,0.0417,1.0,3.0,3
git,seo,0.0417,0.125,3.0,3
finance,accounting,0.25,0.75,2.5714,18
accounting,finance,0.25,0.8571,2.5714,18
excel,aws,0.0417,0.1765,2.5412,3
aws,excel,0.0417,0.6,2.5412,3
excel,python,0.0417,0.1765,2.5412,3
python,excel,0.0417,0.6,2.5412,3
azure,excel,0.0556,0.5714,2.4202,4
excel,azure,0.0556,0.2353,2.4202,4
git,marketing,0.2222,0.6667,2.1818,16
marketing,git,0.2222,0.7273,2.1818,16
excel,java,0.0556,0.2353,2.1176,4
java,excel,0.0556,0.5,2.1176,4
git,sql,0.0417,0.125,1.125,3
sql,git,0.0417,0.375,1.125,3
excel,finance,0.0556,0.2353,0.7059,4
finance,excel,0.0556,0.1667,0.7059,4
accounting,excel,0.0417,0.1429,0.605,3
excel,accounting,0.0417,0.1765,0.605,3
git,excel,0.0417,0.125,0.5294,3
excel,git,0.0417,0.1765,0.5294,3
